Date,Open,High,Low,Close,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2025-04-04,364.1300048828125,374.5899963378906,359.4800109863281,359.8399963378906,49209900
2025-04-07,350.8800048828125,371.0,344.7900085449219,357.8599853515625,50425000
2025-04-08,368.260009765625,373.6499938964844,350.25,354.55999755859375,35868900
2025-04-09,353.5400085449219,393.2300109863281,353.1000061035156,390.489990234375,50199700
2025-04-10,382.05999755859375,383.8999938964844,367.79998779296875,381.3500061035156,38024400
2025-04-11,380.6400146484375,390.04998779296875,378.8900146484375,388.45001220703125,23839200
2025-04-14,393.2200012207031,394.6499938964844,384.2099914550781,387.80999755859375,19251200
2025-04-15,388.510009765625,391.8900146484375,384.1600036621094,385.7300109863281,17199900
2025-04-16,380.6700134277344,381.6099853515625,368.0,371.6099853515625,21967800
2025-04-17,373.75,374.32000732421875,366.8900146484375,367.7799987792969,20943700
2025-04-21,362.82000732421875,364.4800109863281,355.6700134277344,359.1199951171875,20807300
2025-04-22,363.3800048828125,367.7699890136719,359.8599853515625,366.82000732421875,19485000
2025-04-23,376.05999755859375,380.3900146484375,373.0199890136719,374.3900146484375,20545500
2025-04-24,375.70001220703125,388.45001220703125,375.19000244140625,387.29998779296875,22232300
2025-04-25,387.0,392.1600036621094,384.6000061035156,391.8500061035156,18973200
2025-04-28,391.9599914550781,392.739990234375,386.6400146484375,391.1600036621094,16579400
2025-04-29,391.29998779296875,395.1000061035156,390.3800048828125,394.0400085449219,14974000
2025-04-30,390.29998779296875,396.6600036621094,384.44000244140625,395.260009765625,36461100
2025-05-01,431.1099853515625,436.989990234375,424.8999938964844,425.3999938964844,58938100
2025-05-02,431.739990234375,439.44000244140625,429.989990234375,435.2799987792969,30741600
